Name,REDACTED
Address,REDACTED
"Account Number",REDACTED
Disclaimer,"The information contained in this file is intended for the personal and confidential use of the recipient(s) named above.  Any unauthorized use is prohibited."
Title,"CSV Export Electric Meter(s)"
Resource,Electric
"Meter Number",REDACTED
"Interval UOM",Minute(s)
"Reading Start","7/1/2023 00:00"
"Reading End","7/1/2024 23:45"
"Total Duration","367 Days"
"Total Usage",2721.75500000001
UOM,kWh
"Meter Number",Date,"Start Time",Duration,Consumption,Generation,Net
REDACTED,7/1/2023,"12:00 AM",15,0.2200,0.0000,0.2200
REDACTED,7/1/2023,"12:15 AM",15,0.1650,0.0000,0.1650
REDACTED,7/1/2023,"12:30 AM",15,0.1450,0.0000,0.1450
REDACTED,7/1/2023,"12:45 AM",15,0.1600,0.0000,0.1600
REDACTED,7/1/2023,"1:00 AM",15,0.1800,0.0000,0.1800
REDACTED,7/1/2023,"1:15 AM",15,0.1600,0.0000,0.1600
REDACTED,7/1/2023,"1:30 AM",15,0.1750,0.0000,0.1750
REDACTED,7/1/2023,"1:45 AM",15,0.1600,0.0000,0.1600
REDACTED,7/1/2023,"2:00 AM",15,0.1850,0.0000,0.1850
REDACTED,7/1/2023,"2:15 AM",15,0.2000,0.0000,0.2000
REDACTED,7/1/2023,"2:30 AM",15,0.1350,0.0000,0.1350
REDACTED,7/1/2023,"2:45 AM",15,0.1450,0.0000,0.1450
REDACTED,7/1/2023,"3:00 AM",15,0.1850,0.0000,0.1850
REDACTED,7/1/2023,"3:15 AM",15,0.1750,0.0000,0.1750
REDACTED,7/1/2023,"3:30 AM",15,0.1400,0.0000,0.1400
REDACTED,7/1/2023,"3:45 AM",15,0.1450,0.0000,0.1450
REDACTED,7/1/2023,"4:00 AM",15,0.1500,0.0000,0.1500
REDACTED,7/1/2023,"4:15 AM",15,0.1850,0.0000,0.1850
REDACTED,7/1/2023,"4:30 AM",15,0.2300,0.0000,0.2300
REDACTED,7/1/2023,"4:45 AM",15,0.2050,0.0000,0.2050
REDACTED,7/1/2023,"5:00 AM",15,0.1950,0.0000,0.1950
REDACTED,7/1/2023,"5:15 AM",15,0.1750,0.0000,0.1750
REDACTED,7/1/2023,"5:30 AM",15,0.1750,0.0000,0.1750
REDACTED,7/1/2023,"5:45 AM",15,0.1400,0.0000,0.1400
REDACTED,7/1/2023,"6:00 AM",15,0.1200,0.0000,0.1200
REDACTED,7/1/2023,"6:15 AM",15,0.1200,0.0000,0.1200
REDACTED,7/1/2023,"6:30 AM",15,0.0700,0.0000,0.0700
REDACTED,7/1/2023,"6:45 AM",15,0.0700,0.0000,0.0700
REDACTED,7/1/2023,"7:00 AM",15,0.0950,0.0000,0.0950
REDACTED,7/1/2023,"7:15 AM",15,0.0500,0.0000,0.0500
REDACTED,7/1/2023,"7:30 AM",15,0.0050,0.0550,-0.0500
REDACTED,7/1/2023,"7:45 AM",15,0.1700,0.0100,0.1600
REDACTED,7/1/2023,"8:00 AM",15,0.1700,0.0000,0.1700
REDACTED,7/1/2023,"8:15 AM",15,0.0800,0.0050,0.0750
REDACTED,7/1/2023,"8:30 AM",15,0.0000,0.2350,-0.2350
REDACTED,7/1/2023,"8:45 AM",15,0.0000,0.5050,-0.5050
REDACTED,7/1/2023,"9:00 AM",15,0.0000,0.5650,-0.5650
REDACTED,7/1/2023,"9:15 AM",15,0.0000,0.6600,-0.6600
REDACTED,7/1/2023,"9:30 AM",15,0.0000,0.7750,-0.7750
REDACTED,7/1/2023,"9:45 AM",15,0.0000,0.8600,-0.8600
REDACTED,7/1/2023,"10:00 AM",15,0.0000,0.9050,-0.9050
REDACTED,7/1/2023,"10:15 AM",15,0.0000,1.2250,-1.2250
REDACTED,7/1/2023,"10:30 AM",15,0.0000,1.3200,-1.3200
REDACTED,7/1/2023,"10:45 AM",15,0.0000,1.4100,-1.4100
REDACTED,7/1/2023,"11:00 AM",15,0.0000,1.4450,-1.4450
REDACTED,7/1/2023,"11:15 AM",15,0.0000,1.4650,-1.4650
REDACTED,7/1/2023,"11:30 AM",15,0.0000,1.5650,-1.5650
REDACTED,7/1/2023,"11:45 AM",15,0.0000,1.5800,-1.5800
REDACTED,7/1/2023,"12:00 PM",15,0.0000,1.6000,-1.6000
REDACTED,7/1/2023,"12:15 PM",15,0.0000,1.6000,-1.6000
REDACTED,7/1/2023,"12:30 PM",15,0.0000,1.6350,-1.6350
REDACTED,7/1/2023,"12:45 PM",15,0.0000,1.6600,-1.6600
REDACTED,7/1/2023,"1:00 PM",15,0.0000,1.6650,-1.6650
REDACTED,7/1/2023,"1:15 PM",15,0.0000,1.5950,-1.5950
REDACTED,7/1/2023,"1:30 PM",15,0.0000,1.5750,-1.5750
REDACTED,7/1/2023,"1:45 PM",15,0.0000,1.6300,-1.6300
REDACTED,7/1/2023,"2:00 PM",15,0.0000,1.5950,-1.5950
REDACTED,7/1/2023,"2:15 PM",15,0.0000,1.5350,-1.5350
REDACTED,7/1/2023,"2:30 PM",15,0.0000,1.4700,-1.4700
REDACTED,7/1/2023,"2:45 PM",15,0.0000,1.4500,-1.4500
REDACTED,7/1/2023,"3:00 PM",15,0.0000,1.3900,-1.3900
REDACTED,7/1/2023,"3:15 PM",15,0.0000,1.3500,-1.3500
REDACTED,7/1/2023,"3:30 PM",15,0.0000,1.2550,-1.2550
REDACTED,7/1/2023,"3:45 PM",15,0.0000,1.2000,-1.2000
REDACTED,7/1/2023,"4:00 PM",15,0.0000,1.1450,-1.1450
REDACTED,7/1/2023,"4:15 PM",15,0.0000,1.0750,-1.0750
REDACTED,7/1/2023,"4:30 PM",15,0.0000,0.9550,-0.9550
REDACTED,7/1/2023,"4:45 PM",15,0.0000,0.8400,-0.8400
REDACTED,7/1/2023,"5:00 PM",15,0.0000,0.7900,-0.7900
REDACTED,7/1/2023,"5:15 PM",15,0.0000,0.6900,-0.6900
REDACTED,7/1/2023,"5:30 PM",15,0.0000,0.5650,-0.5650
REDACTED,7/1/2023,"5:45 PM",15,0.0000,0.4600,-0.4600
REDACTED,7/1/2023,"6:00 PM",15,0.0000,0.3100,-0.3100
REDACTED,7/1/2023,"6:15 PM",15,0.0000,0.2150,-0.2150
REDACTED,7/1/2023,"6:30 PM",15,0.0000,0.1350,-0.1350
REDACTED,7/1/2023,"6:45 PM",15,0.0350,0.0200,0.0150
REDACTED,7/1/2023,"7:00 PM",15,0.1000,0.0000,0.1000
REDACTED,7/1/2023,"7:15 PM",15,0.1100,0.0000,0.1100
REDACTED,7/1/2023,"7:30 PM",15,0.1650,0.0000,0.1650
REDACTED,7/1/2023,"7:45 PM",15,0.1800,0.0000,0.1800
REDACTED,7/1/2023,"8:00 PM",15,0.2050,0.0000,0.2050
REDACTED,7/1/2023,"8:15 PM",15,0.2150,0.0000,0.2150
REDACTED,7/1/2023,"8:30 PM",15,0.2150,0.0000,0.2150
REDACTED,7/1/2023,"8:45 PM",15,0.2250,0.0000,0.2250
REDACTED,7/1/2023,"9:00 PM",15,0.2550,0.0000,0.2550
REDACTED,7/1/2023,"9:15 PM",15,0.2700,0.0000,0.2700
REDACTED,7/1/2023,"9:30 PM",15,0.2500,0.0000,0.2500
REDACTED,7/1/2023,"9:45 PM",15,0.2500,0.0000,0.2500
REDACTED,7/1/2023,"10:00 PM",15,0.2550,0.0000,0.2550
REDACTED,7/1/2023,"10:15 PM",15,0.2550,0.0000,0.2550
REDACTED,7/1/2023,"10:30 PM",15,0.2600,0.0000,0.2600
REDACTED,7/1/2023,"10:45 PM",15,0.2350,0.0000,0.2350
REDACTED,7/1/2023,"11:00 PM",15,0.2100,0.0000,0.2100
REDACTED,7/1/2023,"11:15 PM",15,0.2200,0.0000,0.2200
REDACTED,7/1/2023,"11:30 PM",15,0.2500,0.0000,0.2500
REDACTED,7/1/2023,"11:45 PM",15,0.1950,0.0000,0.1950
REDACTED,7/2/2023,"12:00 AM",15,0.1400,0.0000,0.1400
REDACTED,7/2/2023,"12:15 AM",15,0.1750,0.0000,0.1750
REDACTED,7/2/2023,"12:30 AM",15,0.1900,0.0000,0.1900
REDACTED,7/2/2023,"12:45 AM",15,0.1750,0.0000,0.1750
REDACTED,7/2/2023,"1:00 AM",15,0.1650,0.0000,0.1650
REDACTED,7/2/2023,"1:15 AM",15,0.1400,0.0000,0.1400
REDACTED,7/2/2023,"1:30 AM",15,0.1500,0.0000,0.1500
REDACTED,7/2/2023,"1:45 AM",15,0.1950,0.0000,0.1950
REDACTED,7/2/2023,"2:00 AM",15,0.1600,0.0000,0.1600
REDACTED,7/2/2023,"2:15 AM",15,0.1500,0.0000,0.1500
REDACTED,7/2/2023,"2:30 AM",15,0.1800,0.0000,0.1800
REDACTED,7/2/2023,"2:45 AM",15,0.1600,0.0000,0.1600
REDACTED,7/2/2023,"3:00 AM",15,0.1450,0.0000,0.1450
REDACTED,7/2/2023,"3:15 AM",15,0.1400,0.0000,0.1400
REDACTED,7/2/2023,"3:30 AM",15,0.1900,0.0000,0.1900
REDACTED,7/2/2023,"3:45 AM",15,0.1650,0.0000,0.1650
REDACTED,7/2/2023,"4:00 AM",15,0.1800,0.0000,0.1800
REDACTED,7/2/2023,"4:15 AM",15,0.1750,0.0000,0.1750
REDACTED,7/2/2023,"4:30 AM",15,0.1450,0.0000,0.1450
REDACTED,7/2/2023,"4:45 AM",15,0.1600,0.0000,0.1600
REDACTED,7/2/2023,"5:00 AM",15,0.1750,0.0000,0.1750
REDACTED,7/2/2023,"5:15 AM",15,0.1650,0.0000,0.1650
REDACTED,7/2/2023,"5:30 AM",15,0.1350,0.0000,0.1350
REDACTED,7/2/2023,"5:45 AM",15,0.1650,0.0000,0.1650
REDACTED,7/2/2023,"6:00 AM",15,0.1050,0.0000,0.1050
REDACTED,7/2/2023,"6:15 AM",15,0.1050,0.0000,0.1050
REDACTED,7/2/2023,"6:30 AM",15,0.1250,0.0000,0.1250
REDACTED,7/2/2023,"6:45 AM",15,0.0800,0.0000,0.0800
REDACTED,7/2/2023,"7:00 AM",15,0.0100,0.0100,0.0000
REDACTED,7/2/2023,"7:15 AM",15,0.0100,0.0000,0.0100
REDACTED,7/2/2023,"7:30 AM",15,0.0000,0.0050,-0.0050
REDACTED,7/2/2023,"7:45 AM",15,0.1750,0.0050,0.1700
REDACTED,7/2/2023,"8:00 AM",15,0.2300,0.0000,0.2300
REDACTED,7/2/2023,"8:15 AM",15,0.2300,0.0000,0.2300
REDACTED,7/2/2023,"8:30 AM",15,0.2100,0.0000,0.2100
REDACTED,7/2/2023,"8:45 AM",15,0.1200,0.0000,0.1200
REDACTED,7/2/2023,"9:00 AM",15,0.0450,0.0100,0.0350
REDACTED,7/2/2023,"9:15 AM",15,0.0000,0.5200,-0.5200
REDACTED,7/2/2023,"9:30 AM",15,0.0000,0.9450,-0.9450
REDACTED,7/2/2023,"9:45 AM",15,0.0000,0.8100,-0.8100
REDACTED,7/2/2023,"10:00 AM",15,0.0000,0.8900,-0.8900
REDACTED,7/2/2023,"10:15 AM",15,0.0000,0.9950,-0.9950
REDACTED,7/2/2023,"10:30 AM",15,0.0000,1.0450,-1.0450
